Dnevni podaci postaje KUPLJENOVO - KRAPINA,  PROTOK  (m3/s)

Šifra;Naziv;Vodotok;Godina podataka;
3054;KUPLJENOVO;KRAPINA;1964-2021;
01.01.1964;6,17;
02.01.1964;8,21;
03.01.1964;7,77;
04.01.1964;8,21;
05.01.1964;7,77;
06.01.1964;7,34;
07.01.1964;7,34;
08.01.1964;6,74;
09.01.1964;6,74;
10.01.1964;6,74;
11.01.1964;5,99;
12.01.1964;5,47;
13.01.1964;5,47;
14.01.1964;5,47;
15.01.1964;5,47;
16.01.1964;6,74;
17.01.1964;5,47;
18.01.1964;5,81;
19.01.1964;6,74;
20.01.1964;5,47;
21.01.1964;5,14;
22.01.1964;3,58;
23.01.1964;3,58;
24.01.1964;3,58;
25.01.1964;3,58;
26.01.1964;3,58;
27.01.1964;3,58;
28.01.1964;3,58;
29.01.1964;3,71;
30.01.1964;4,10;
31.01.1964;3,71;
01.02.1964;4,10;
02.02.1964;4,10;
03.02.1964;3,71;
04.02.1964;4,10;
05.02.1964;4,53;
06.02.1964;4,53;
07.02.1964;5,47;
08.02.1964;6,74;
09.02.1964;5,14;
10.02.1964;4,53;
11.02.1964;5,14;
12.02.1964;5,47;
13.02.1964;7,34;
14.02.1964;7,77;
15.02.1964;7,34;
16.02.1964;6,17;
17.02.1964;6,17;
18.02.1964;11,1;
19.02.1964;41,5;
20.02.1964;53,2;
21.02.1964;34,1;
22.02.1964;25,6;
23.02.1964;16,7;
24.02.1964;12,2;
25.02.1964;12,2;
26.02.1964;14,4;
27.02.1964;26,7;
28.02.1964;28,9;
29.02.1964;22,8;
01.03.1964;24,0;
02.03.1964;20,0;
03.03.1964;14,8;
04.03.1964;12,2;
05.03.1964;11,1;
06.03.1964;10,6;
07.03.1964;5,99;
08.03.1964;7,14;
09.03.1964;8,94;
10.03.1964;8,94;
11.03.1964;8,94;
12.03.1964;13,2;
13.03.1964;18,8;
14.03.1964;24,7;
15.03.1964;37,1;
16.03.1964;53,5;
17.03.1964;44,6;
18.03.1964;30,9;
19.03.1964;21,6;
20.03.1964;17,4;
21.03.1964;35,7;
22.03.1964;53,9;
23.03.1964;51,8;
24.03.1964;46,5;
25.03.1964;28,4;
26.03.1964;22,8;
27.03.1964;18,1;
28.03.1964;18,1;
29.03.1964;28,9;
30.03.1964;33,3;
31.03.1964;29,7;
01.04.1964;20,5;
