"","date","h_year","flow","baseflow"
"1",1964-01-01,1964,17,NA
"2",1964-01-02,1964,21,NA
"3",1964-01-03,1964,77,NA
"4",1964-01-04,1964,21,NA
"5",1964-01-05,1964,77,NA
"6",1964-01-06,1964,34,NA
"7",1964-01-07,1964,34,NA
"8",1964-01-08,1964,74,NA
"9",1964-01-09,1964,74,NA
"10",1964-01-10,1964,74,NA
"11",1964-01-11,1964,99,NA
"12",1964-01-12,1964,47,NA
"13",1964-01-13,1964,47,NA
"14",1964-01-14,1964,47,NA
"15",1964-01-15,1964,47,NA
"16",1964-01-16,1964,74,NA
"17",1964-01-17,1964,47,NA
"18",1964-01-18,1964,81,NA
"19",1964-01-19,1964,74,NA
"20",1964-01-20,1964,47,NA
"21",1964-01-21,1964,14,NA
"22",1964-01-22,1964,58,NA
"23",1964-01-23,1964,58,NA
"24",1964-01-24,1964,58,NA
"25",1964-01-25,1964,58,NA
"26",1964-01-26,1964,58,NA
"27",1964-01-27,1964,58,NA
"28",1964-01-28,1964,58,NA
"29",1964-01-29,1964,71,NA
"30",1964-01-30,1964,10,10
"31",1964-01-31,1964,71,10
"32",1964-02-01,1964,10,10
"33",1964-02-02,1964,10,9.47058823529412
"34",1964-02-03,1964,71,8.94117647058824
"35",1964-02-04,1964,10,8.41176470588235
"36",1964-02-05,1964,53,7.88235294117647
"37",1964-02-06,1964,53,7.35294117647059
"38",1964-02-07,1964,47,6.82352941176471
"39",1964-02-08,1964,74,6.29411764705882
"40",1964-02-09,1964,14,5.76470588235294
"41",1964-02-10,1964,53,5.23529411764706
"42",1964-02-11,1964,14,4.70588235294118
"43",1964-02-12,1964,47,4.17647058823529
"44",1964-02-13,1964,34,3.64705882352941
"45",1964-02-14,1964,77,3.11764705882353
"46",1964-02-15,1964,34,2.58823529411765
"47",1964-02-16,1964,17,2.05882352941176
"48",1964-02-17,1964,17,1.52941176470588
"49",1964-02-18,1964,1,1
"50",1964-02-19,1964,5,1
"51",1964-02-20,1964,2,1
"52",1964-02-21,1964,1,1
"53",1964-02-22,1964,6,0.888888888888889
"54",1964-02-23,1964,7,0.777777777777778
"55",1964-02-24,1964,2,0.666666666666667
"56",1964-02-25,1964,2,0.555555555555556
"57",1964-02-26,1964,4,0.444444444444444
"58",1964-02-27,1964,7,0.333333333333333
"59",1964-02-28,1964,9,0.222222222222222
"60",1964-02-29,1964,8,0.111111111111111
"61",1964-03-01,1964,0,0
"62",1964-03-02,1964,0,0
"63",1964-03-03,1964,8,0.142857142857143
"64",1964-03-04,1964,2,0.214285714285714
"65",1964-03-05,1964,1,0.285714285714286
"66",1964-03-06,1964,6,0.357142857142857
"67",1964-03-07,1964,99,0.428571428571429
"68",1964-03-08,1964,14,0.5
"69",1964-03-09,1964,94,0.571428571428571
"70",1964-03-10,1964,94,0.642857142857143
"71",1964-03-11,1964,94,0.714285714285714
"72",1964-03-12,1964,2,0.785714285714286
"73",1964-03-13,1964,8,0.857142857142857
"74",1964-03-14,1964,7,0.928571428571429
"75",1964-03-15,1964,1,1
"76",1964-03-16,1964,5,1
"77",1964-03-17,1964,6,1
"78",1964-03-18,1964,9,1
"79",1964-03-19,1964,6,1
"80",1964-03-20,1964,4,1
"81",1964-03-21,1964,7,1
"82",1964-03-22,1964,9,1
"83",1964-03-23,1964,8,1
"84",1964-03-24,1964,5,1
"85",1964-03-25,1964,4,1
"86",1964-03-26,1964,8,1
"87",1964-03-27,1964,1,1
"88",1964-03-28,1964,1,1
"89",1964-03-29,1964,9,1
"90",1964-03-30,1964,3,1
"91",1964-03-31,1964,7,1
"92",1964-04-01,1964,5,1
"93",1964-04-02,1964,7,1
"94",1964-04-03,1964,6,1
"95",1964-04-04,1964,6,1
"96",1964-04-05,1964,4,1
"97",1964-04-06,1964,9,1
"98",1964-04-07,1964,1,1
"99",1964-04-08,1964,7,1
"100",1964-04-09,1964,1,1
"101",1964-04-10,1964,6,1
"102",1964-04-11,1964,4,1
"103",1964-04-12,1964,9,1
"104",1964-04-13,1964,5,1
"105",1964-04-14,1964,1,1
"106",1964-04-15,1964,6,1
"107",1964-04-16,1964,5,1
"108",1964-04-17,1964,6,1
"109",1964-04-18,1964,2,1
"110",1964-04-19,1964,1,1
"111",1964-04-20,1964,4,1
"112",1964-04-21,1964,4,1
"113",1964-04-22,1964,94,1
"114",1964-04-23,1964,94,1
"115",1964-04-24,1964,77,1
"116",1964-04-25,1964,2,1
"117",1964-04-26,1964,6,1
"118",1964-04-27,1964,7,1
"119",1964-04-28,1964,6,1
"120",1964-04-29,1964,6,1
"121",1964-04-30,1964,4,1
"122",1964-05-01,1964,6,1
"123",1964-05-02,1964,1,1
"124",1964-05-03,1964,8,1
"125",1964-05-04,1964,1,1
"126",1964-05-05,1964,65,1
"127",1964-05-06,1964,2,1
"128",1964-05-07,1964,8,1
"129",1964-05-08,1964,9,1
"130",1964-05-09,1964,7,1
"131",1964-05-10,1964,4,1
"132",1964-05-11,1964,6,1
"133",1964-05-12,1964,1,1
"134",1964-05-13,1964,65,1
"135",1964-05-14,1964,18,1
"136",1964-05-15,1964,18,1
"137",1964-05-16,1964,65,1
"138",1964-05-17,1964,77,1
"139",1964-05-18,1964,53,1
"140",1964-05-19,1964,47,1
"141",1964-05-20,1964,38,1
"142",1964-05-21,1964,65,1
"143",1964-05-22,1964,99,1
"144",1964-05-23,1964,81,1
"145",1964-05-24,1964,99,1
"146",1964-05-25,1964,98,1
"147",1964-05-26,1964,46,1
"148",1964-05-27,1964,81,1
"149",1964-05-28,1964,71,1
"150",1964-05-29,1964,71,1
"151",1964-05-30,1964,7,1
"152",1964-05-31,1964,5,1
"153",1964-06-01,1964,1,1
"154",1964-06-02,1964,9,0.909090909090909
"155",1964-06-03,1964,6,0.818181818181818
"156",1964-06-04,1964,7,0.727272727272727
"157",1964-06-05,1964,5,0.636363636363636
"158",1964-06-06,1964,24,0.545454545454545
"159",1964-06-07,1964,47,0.454545454545455
"160",1964-06-08,1964,98,0.363636363636364
"161",1964-06-09,1964,53,0.272727272727273
"162",1964-06-10,1964,71,0.181818181818182
"163",1964-06-11,1964,71,0.0909090909090909
"164",1964-06-12,1964,0,0
"165",1964-06-13,1964,0,0
"166",1964-06-14,1964,23,0.0666666666666667
"167",1964-06-15,1964,79,0.1
"168",1964-06-16,1964,53,0.133333333333333
"169",1964-06-17,1964,5,0.166666666666667
"170",1964-06-18,1964,1,0.2
"171",1964-06-19,1964,8,0.233333333333333
"172",1964-06-20,1964,6,0.266666666666667
"173",1964-06-21,1964,94,0.3
"174",1964-06-22,1964,47,0.333333333333333
"175",1964-06-23,1964,4,0.366666666666667
"176",1964-06-24,1964,48,0.4
"177",1964-06-25,1964,17,0.433333333333333
"178",1964-06-26,1964,14,0.466666666666667
"179",1964-06-27,1964,23,0.5
"180",1964-06-28,1964,98,0.533333333333333
"181",1964-06-29,1964,71,0.566666666666667
"182",1964-06-30,1964,9,0.6
"183",1964-07-01,1964,7,0.633333333333333
"184",1964-07-02,1964,3,0.666666666666667
"185",1964-07-03,1964,9,0.7
"186",1964-07-04,1964,54,0.733333333333333
"187",1964-07-05,1964,94,0.766666666666667
"188",1964-07-06,1964,6,0.8
"189",1964-07-07,1964,2,0.833333333333333
"190",1964-07-08,1964,2,0.866666666666667
"191",1964-07-09,1964,2,0.9
"192",1964-07-10,1964,71,0.933333333333333
"193",1964-07-11,1964,5,0.966666666666667
"194",1964-07-12,1964,1,1
"195",1964-07-13,1964,9,0.9
"196",1964-07-14,1964,4,0.8
"197",1964-07-15,1964,94,0.7
"198",1964-07-16,1964,14,0.6
"199",1964-07-17,1964,83,0.5
"200",1964-07-18,1964,17,0.4
"201",1964-07-19,1964,98,0.3
"202",1964-07-20,1964,71,0.2
"203",1964-07-21,1964,46,0.1
"204",1964-07-22,1964,0,0
"205",1964-07-23,1964,79,0
"206",1964-07-24,1964,1,0
"207",1964-07-25,1964,94,0
"208",1964-07-26,1964,10,0
"209",1964-07-27,1964,23,0
"210",1964-07-28,1964,0,0
"211",1964-07-29,1964,59,0
"212",1964-07-30,1964,60,0
"213",1964-07-31,1964,47,0
"214",1964-08-01,1964,53,0
"215",1964-08-02,1964,71,0
"216",1964-08-03,1964,47,0
"217",1964-08-04,1964,71,0
"218",1964-08-05,1964,0,0
"219",1964-08-06,1964,69,0
"220",1964-08-07,1964,50,0
"221",1964-08-08,1964,40,0
"222",1964-08-09,1964,36,0
"223",1964-08-10,1964,18,0
"224",1964-08-11,1964,83,0
"225",1964-08-12,1964,46,0
"226",1964-08-13,1964,0,0
"227",1964-08-14,1964,79,0.277777777777778
"228",1964-08-15,1964,50,0.555555555555556
"229",1964-08-16,1964,31,0.833333333333333
"230",1964-08-17,1964,31,1.11111111111111
"231",1964-08-18,1964,14,1.38888888888889
"232",1964-08-19,1964,79,1.66666666666667
"233",1964-08-20,1964,23,1.94444444444444
"234",1964-08-21,1964,79,2.22222222222222
"235",1964-08-22,1964,40,2.5
"236",1964-08-23,1964,99,2.77777777777778
"237",1964-08-24,1964,36,3.05555555555556
"238",1964-08-25,1964,58,3.33333333333333
"239",1964-08-26,1964,79,3.61111111111111
"240",1964-08-27,1964,40,3.88888888888889
"241",1964-08-28,1964,31,4.16666666666667
"242",1964-08-29,1964,14,4.44444444444444
"243",1964-08-30,1964,97,4.72222222222222
"244",1964-08-31,1964,5,5
"245",1964-09-01,1964,5,4.76190476190476
"246",1964-09-02,1964,97,4.52380952380952
"247",1964-09-03,1964,89,4.28571428571429
"248",1964-09-04,1964,82,4.04761904761905
"249",1964-09-05,1964,74,3.80952380952381
"250",1964-09-06,1964,60,3.57142857142857
"251",1964-09-07,1964,67,3.33333333333333
"252",1964-09-08,1964,98,3.0952380952381
"253",1964-09-09,1964,11,2.85714285714286
"254",1964-09-10,1964,50,2.61904761904762
"255",1964-09-11,1964,31,2.38095238095238
"256",1964-09-12,1964,5,2.14285714285714
"257",1964-09-13,1964,97,1.9047619047619
"258",1964-09-14,1964,82,1.66666666666667
"259",1964-09-15,1964,74,1.42857142857143
"260",1964-09-16,1964,67,1.19047619047619
"261",1964-09-17,1964,67,0.952380952380953
"262",1964-09-18,1964,10,0.714285714285714
"263",1964-09-19,1964,83,0.476190476190476
"264",1964-09-20,1964,69,0.238095238095238
"265",1964-09-21,1964,0,0
"266",1964-09-22,1964,2,0
"267",1964-09-23,1964,2,0
"268",1964-09-24,1964,94,0
"269",1964-09-25,1964,38,0
"270",1964-09-26,1964,34,0
"271",1964-09-27,1964,69,0
"272",1964-09-28,1964,40,0
"273",1964-09-29,1964,31,0
"274",1964-09-30,1964,22,0
"275",1964-10-01,1965,14,0
"276",1964-10-02,1965,5,0
"277",1964-10-03,1965,5,0
"278",1964-10-04,1965,97,0
"279",1964-10-05,1965,97,0
"280",1964-10-06,1965,22,0
"281",1964-10-07,1965,22,0
"282",1964-10-08,1965,22,0
"283",1964-10-09,1965,0,0
"284",1964-10-10,1965,64,0
"285",1964-10-11,1965,46,0
"286",1964-10-12,1965,65,0
"287",1964-10-13,1965,0,0
"288",1964-10-14,1965,0,0
"289",1964-10-15,1965,0,0
"290",1964-10-16,1965,6,0
"291",1964-10-17,1965,3,0
"292",1964-10-18,1965,0,0
"293",1964-10-19,1965,4,0
"294",1964-10-20,1965,3,0
"295",1964-10-21,1965,7,0
"296",1964-10-22,1965,0,0
"297",1964-10-23,1965,8,0
"298",1964-10-24,1965,9,0
"299",1964-10-25,1965,0,0
"300",1964-10-26,1965,0,0
"301",1964-10-27,1965,0,0
"302",1964-10-28,1965,5,0
"303",1964-10-29,1965,4,0
"304",1964-10-30,1965,3,0
"305",1964-10-31,1965,9,0
"306",1964-11-01,1965,1,0
"307",1964-11-02,1965,6,0
"308",1964-11-03,1965,2,0
"309",1964-11-04,1965,8,0
"310",1964-11-05,1965,8,0
"311",1964-11-06,1965,6,0
"312",1964-11-07,1965,7,0
"313",1964-11-08,1965,5,0
"314",1964-11-09,1965,9,0
"315",1964-11-10,1965,7,0
"316",1964-11-11,1965,2,0
"317",1964-11-12,1965,9,0
"318",1964-11-13,1965,0,0
"319",1964-11-14,1965,2,0
"320",1964-11-15,1965,4,0
"321",1964-11-16,1965,4,0
