day,month,year,flow,hyear,baseflow,Date
1,1,1960,769,1960,NA,1960-01-01
2,1,1960,615,1960,NA,1960-01-02
3,1,1960,532,1960,NA,1960-01-03
4,1,1960,488,1960,NA,1960-01-04
5,1,1960,435,1960,NA,1960-01-05
6,1,1960,397,1960,NA,1960-01-06
7,1,1960,377,1960,NA,1960-01-07
8,1,1960,360,1960,NA,1960-01-08
9,1,1960,343,1960,NA,1960-01-09
10,1,1960,337,1960,NA,1960-01-10
11,1,1960,310,1960,NA,1960-01-11
12,1,1960,302,1960,NA,1960-01-12
13,1,1960,299,1960,NA,1960-01-13
14,1,1960,289,1960,NA,1960-01-14
15,1,1960,281,1960,NA,1960-01-15
16,1,1960,276,1960,NA,1960-01-16
17,1,1960,260,1960,NA,1960-01-17
18,1,1960,233,1960,NA,1960-01-18
19,1,1960,223,1960,NA,1960-01-19
20,1,1960,219,1960,219,1960-01-20
21,1,1960,216,1960,214.75,1960-01-21
22,1,1960,214,1960,210.5,1960-01-22
23,1,1960,204,1960,204,1960-01-23
24,1,1960,202,1960,202,1960-01-24
25,1,1960,216,1960,203.9375,1960-01-25
26,1,1960,406,1960,205.875,1960-01-26
27,1,1960,578,1960,207.8125,1960-01-27
28,1,1960,690,1960,209.75,1960-01-28
29,1,1960,662,1960,211.6875,1960-01-29
30,1,1960,966,1960,213.625,1960-01-30
31,1,1960,939,1960,215.5625,1960-01-31
1,2,1960,676,1960,217.5,1960-02-01
2,2,1960,532,1960,219.4375,1960-02-02
3,2,1960,444,1960,221.375,1960-02-03
4,2,1960,388,1960,223.3125,1960-02-04
5,2,1960,348,1960,225.25,1960-02-05
6,2,1960,315,1960,227.1875,1960-02-06
7,2,1960,281,1960,229.125,1960-02-07
8,2,1960,245,1960,231.0625,1960-02-08
9,2,1960,233,1960,233,1960-02-09
10,2,1960,231,1960,229,1960-02-10
11,2,1960,226,1960,225,1960-02-11
12,2,1960,221,1960,221,1960-02-12
13,2,1960,273,1960,223.33333333333334,1960-02-13
14,2,1960,362,1960,225.66666666666666,1960-02-14
15,2,1960,377,1960,228,1960-02-15
16,2,1960,332,1960,230.33333333333334,1960-02-16
17,2,1960,307,1960,232.66666666666666,1960-02-17
18,2,1960,412,1960,235,1960-02-18
19,2,1960,516,1960,237.33333333333334,1960-02-19
20,2,1960,802,1960,239.66666666666666,1960-02-20
21,2,1960,1014,1960,242,1960-02-21
22,2,1960,836,1960,244.33333333333334,1960-02-22
23,2,1960,769,1960,246.66666666666666,1960-02-23
24,2,1960,1161,1960,249,1960-02-24
25,2,1960,998,1960,251.33333333333334,1960-02-25
26,2,1960,769,1960,253.66666666666666,1960-02-26
27,2,1960,649,1960,256,1960-02-27
28,2,1960,565,1960,258.3333333333333,1960-02-28
29,2,1960,469,1960,260.6666666666667,1960-02-29
1,3,1960,438,1960,263,1960-03-01
2,3,1960,435,1960,265.3333333333333,1960-03-02
3,3,1960,447,1960,267.6666666666667,1960-03-03
4,3,1960,415,1960,270,1960-03-04
5,3,1960,397,1960,272.3333333333333,1960-03-05
6,3,1960,388,1960,274.6666666666667,1960-03-06
7,3,1960,315,1960,277,1960-03-07
8,3,1960,310,1960,279.3333333333333,1960-03-08
9,3,1960,299,1960,281.6666666666667,1960-03-09
10,3,1960,284,1960,284,1960-03-10
11,3,1960,284,1960,284,1960-03-11
12,3,1960,362,1960,285.3529411764706,1960-03-12
13,3,1960,466,1960,286.70588235294116,1960-03-13
14,3,1960,444,1960,288.05882352941177,1960-03-14
15,3,1960,491,1960,289.4117647058824,1960-03-15
16,3,1960,594,1960,290.7647058823529,1960-03-16
17,3,1960,947,1960,292.11764705882354,1960-03-17
18,3,1960,1282,1960,293.47058823529414,1960-03-18
19,3,1960,974,1960,294.8235294117647,1960-03-19
20,3,1960,762,1960,296.1764705882353,1960-03-20
21,3,1960,591,1960,297.52941176470586,1960-03-21
22,3,1960,510,1960,298.88235294117646,1960-03-22
23,3,1960,457,1960,300.2352941176471,1960-03-23
24,3,1960,412,1960,301.5882352941176,1960-03-24
25,3,1960,379,1960,302.94117647058823,1960-03-25
26,3,1960,357,1960,304.29411764705884,1960-03-26
27,3,1960,343,1960,305.6470588235294,1960-03-27
28,3,1960,307,1960,307,1960-03-28
29,3,1960,307,1960,304.52941176470586,1960-03-29
30,3,1960,326,1960,302.05882352941177,1960-03-30
31,3,1960,360,1960,299.5882352941176,1960-03-31
1,4,1960,491,1960,297.11764705882354,1960-04-01
2,4,1960,568,1960,294.6470588235294,1960-04-02
3,4,1960,494,1960,292.1764705882353,1960-04-03
4,4,1960,397,1960,289.70588235294116,1960-04-04
5,4,1960,368,1960,287.2352941176471,1960-04-05
6,4,1960,343,1960,284.7647058823529,1960-04-06
7,4,1960,315,1960,282.29411764705884,1960-04-07
8,4,1960,302,1960,279.8235294117647,1960-04-08
9,4,1960,297,1960,277.3529411764706,1960-04-09
10,4,1960,299,1960,274.88235294117646,1960-04-10
11,4,1960,281,1960,272.4117647058824,1960-04-11
12,4,1960,281,1960,269.94117647058823,1960-04-12
13,4,1960,276,1960,267.47058823529414,1960-04-13
14,4,1960,265,1960,265,1960-04-14
15,4,1960,258,1960,258,1960-04-15
16,4,1960,278,1960,262,1960-04-16
17,4,1960,291,1960,266,1960-04-17
18,4,1960,278,1960,270,1960-04-18
19,4,1960,263,1960,263,1960-04-19
20,4,1960,278,1960,278,1960-04-20
21,4,1960,379,1960,277.77777777777777,1960-04-21
22,4,1960,379,1960,277.55555555555554,1960-04-22
23,4,1960,351,1960,277.3333333333333,1960-04-23
24,4,1960,329,1960,277.1111111111111,1960-04-24
25,4,1960,307,1960,276.8888888888889,1960-04-25
26,4,1960,324,1960,276.6666666666667,1960-04-26
27,4,1960,318,1960,276.44444444444446,1960-04-27
28,4,1960,299,1960,276.22222222222223,1960-04-28
29,4,1960,276,1960,276,1960-04-29
30,4,1960,302,1960,280.2,1960-04-30
1,5,1960,382,1960,284.4,1960-05-01
2,5,1960,400,1960,288.6,1960-05-02
3,5,1960,332,1960,292.8,1960-05-03
4,5,1960,297,1960,297,1960-05-04
5,5,1960,278,1960,278,1960-05-05
6,5,1960,321,1960,278,1960-05-06
7,5,1960,357,1960,278,1960-05-07
8,5,1960,365,1960,278,1960-05-08
9,5,1960,332,1960,278,1960-05-09
10,5,1960,297,1960,278,1960-05-10
11,5,1960,281,1960,278,1960-05-11
12,5,1960,278,1960,278,1960-05-12
13,5,1960,281,1960,272.5882352941176,1960-05-13
14,5,1960,281,1960,267.1764705882353,1960-05-14
15,5,1960,284,1960,261.7647058823529,1960-05-15
16,5,1960,284,1960,256.3529411764706,1960-05-16
17,5,1960,271,1960,250.94117647058823,1960-05-17
18,5,1960,271,1960,245.52941176470588,1960-05-18
19,5,1960,268,1960,240.11764705882354,1960-05-19
20,5,1960,268,1960,234.70588235294116,1960-05-20
21,5,1960,263,1960,229.29411764705884,1960-05-21
22,5,1960,260,1960,223.88235294117646,1960-05-22
23,5,1960,243,1960,218.47058823529412,1960-05-23
24,5,1960,236,1960,213.05882352941177,1960-05-24
25,5,1960,219,1960,207.64705882352942,1960-05-25
26,5,1960,204,1960,202.23529411764707,1960-05-26
27,5,1960,200,1960,196.8235294117647,1960-05-27
28,5,1960,195,1960,191.41176470588235,1960-05-28
29,5,1960,186,1960,186,1960-05-29
30,5,1960,173,1960,173,1960-05-30
31,5,1960,173,1960,173,1960-05-31
1,6,1960,179,1960,174.33333333333334,1960-06-01
2,6,1960,175,1960,170.44444444444446,1960-06-02
3,6,1960,177,1960,166.55555555555554,1960-06-03
4,6,1960,175,1960,162.66666666666666,1960-06-04
5,6,1960,164,1960,158.77777777777777,1960-06-05
6,6,1960,155,1960,154.88888888888889,1960-06-06
7,6,1960,151,1960,151,1960-06-07
8,6,1960,155,1960,154,1960-06-08
9,6,1960,168,1960,157,1960-06-09
10,6,1960,160,1960,160,1960-06-10
11,6,1960,191,1960,156.64705882352942,1960-06-11
12,6,1960,223,1960,153.2941176470588,1960-06-12
13,6,1960,202,1960,149.94117647058823,1960-06-13
14,6,1960,173,1960,146.58823529411765,1960-06-14
15,6,1960,164,1960,143.23529411764707,1960-06-15
16,6,1960,164,1960,139.88235294117646,1960-06-16
17,6,1960,153,1960,136.52941176470588,1960-06-17
18,6,1960,155,1960,133.1764705882353,1960-06-18
19,6,1960,153,1960,129.8235294117647,1960-06-19
20,6,1960,127,1960,126.47058823529412,1960-06-20
21,6,1960,133,1960,123.11764705882354,1960-06-21
22,6,1960,133,1960,119.76470588235294,1960-06-22
23,6,1960,127,1960,116.41176470588235,1960-06-23
24,6,1960,121,1960,113.05882352941177,1960-06-24
25,6,1960,113,1960,109.70588235294119,1960-06-25
26,6,1960,113,1960,106.35294117647058,1960-06-26
27,6,1960,103,1960,103,1960-06-27
28,6,1960,115,1960,107.36363636363636,1960-06-28
29,6,1960,151,1960,111.72727272727272,1960-06-29
30,6,1960,214,1960,116.0909090909091,1960-06-30
1,7,1960,313,1960,120.45454545454545,1960-07-01
2,7,1960,250,1960,124.81818181818181,1960-07-02
3,7,1960,209,1960,129.1818181818182,1960-07-03
4,7,1960,209,1960,133.54545454545456,1960-07-04
5,7,1960,191,1960,137.9090909090909,1960-07-05
6,7,1960,179,1960,142.27272727272728,1960-07-06
7,7,1960,170,1960,146.63636363636363,1960-07-07
8,7,1960,151,1960,151,1960-07-08
9,7,1960,243,1960,152.84615384615384,1960-07-09
10,7,1960,326,1960,154.69230769230768,1960-07-10
11,7,1960,255,1960,156.53846153846155,1960-07-11
